737,15
26,10
542,8
196,6
358,15
530,14
283,11
839,8
924,5
375,6
684,10
28,6
302,12
923,1
513,8
487,9
632,14
746,1
965,1
660,2
911,4
700,8
42,10
203,6
67,14
545,9
546,10
430,5
101,5
70,15
808,3
308,8
52,5
769,11
328,8
45,7
365,6
909,3
710,11
842,7
387,7
835,7
300,6
106,8
850,5
586,6
523,2
624,13
908,11
921,15
416,2
825,14
497,3
925,10
692,15
877,5
620,3
553,10
472,15
381,15
822,9
934,8
768,9
254,8
442,10
718,12
788,12
443,10
371,2
567,9
208,3
953,4
336,12
854,1
921,15
807,7
218,6
305,5
89,10
908,11
871,13
508,8
986,6
186,1
332,8
537,4
135,13
954,8
772,11
41,3
622,4
839,3
481,4
481,1
632,12
55,3
580,7
251,11
928,11
74,4
990,2
3,5
868,10
145,11
708,8
268,7
500,1
247,8
636,5
655,3
791,4
936,2
507,8
625,15
942,11
915,8
871,9
57,15
963,5
341,14
557,10
6,9
121,8
798,10
182,8
587,8
599,7
223,11
90,7
127,7
377,1
409,13
147,2
762,6
436,12
39,14
702,4
404,5
781,9
795,8
573,14
56,5
473,12
5,2
170,8
367,12
233,4
767,3
87,10
164,8
670,12
658,2
493,13
72,14
740,7
937,5
249,11
188,14
996,8
818,12
280,9
738,5
275,10
731,5
8,6
754,15
423,7
596,9
624,10
313,10
547,10
110,9
249,3
903,8
643,2
360,1
954,13
950,1
290,7
296,11
930,10
136,5
851,7
808,5
553,15
533,3
807,4
718,10
996,15
64,9
569,6
618,12
881,4
424,15
209,14
173,3
891,9
193,3
321,14
584,6
44,8
899,1
1,4
799,3
367,13
428,7
125,6
866,9
150,1
166,3
333,1
50,1
153,6
417,2
124,5
82,8
333,3
818,4
348,9
986,10
407,3
36,6
660,6
172,7
285,14
517,7
863,11
353,9
348,8
552,6
534,1
502,15
641,6
454,4
868,5
901,8
995,6
752,14
158,11
218,11
423,10
298,7
716,5
897,8
249,5
165,4
980,3
169,1
302,11
198,9
926,15
832,14
244,3
959,5
277,15
712,11
654,2
519,4
292,4
456,14
655,1
361,12
442,13
81,6
382,8
267,5
603,15
785,11
588,13
48,11
943,12
446,9
20,3
202,3
68,11
601,1
572,15
528,8
537,11
399,10
397,3
896,13
608,10
179,10
834,13
181,14
955,4
884,7
308,11
465,7
69,13
550,2
815,12
876,5
628,12
868,2
549,7
841,12
360,4
281,7
127,13
388,3
469,9
43,5
481,13
911,11
89,12
38,12
873,13
806,10
982,15
546,3
134,8
807,14
793,8
547,2
296,6
645,15
808,2
742,9
513,8
643,5
533,4
703,6
829,6
136,14
337,6
458,1
271,10
970,4
174,8
700,2
423,3
258,9
776,10
951,7
148,4
54,12
127,1
891,4
827,6
644,1
772,14
824,8
178,13
171,8
193,7
973,6
655,14
127,11
471,1
512,14
470,6
940,4
608,1
618,11
247,11
787,3
789,4
108,5
684,1
907,9
426,1
338,9
390,8
584,2
278,9
706,11
255,15
295,15
491,4
926,15
288,9
417,15
102,13
104,8
984,9
236,2
295,7
404,12
220,5
316,15
637,7
188,14
681,15
268,4
140,15
623,15
784,11
472,4
603,2
24,7
11,7
608,3
656,6
650,10
500,7
250,11
430,13
12,5
708,15
511,15
68,12
713,4
87,2
994,14
901,2
723,3
375,3
653,8
616,15
397,1
752,1
35,15
142,3
241,5
158,13
230,4
655,7
13,11
18,5
217,9
656,14
923,7
569,6
317,9
247,14
542,10
936,12
583,3
176,14
593,8
732,13
759,1
724,4
791,7
577,3
440,12
421,14
431,7
741,2
84,14
219,4
817,14
343,6
957,1
79,14
486,15
949,6
629,14
14,11
248,1
518,7
102,1
603,9
921,1
394,9
420,8
432,3
902,5
58,13
786,7
840,3
86,5
700,12
870,8
28,1
740,14
963,10
361,6
568,11
37,7
90,11
989,10
348,12
248,10
753,13
737,2
784,9
305,13
600,3
801,2
979,3
202,4
942,9
433,11
874,5
488,11
578,14
588,5
536,2
178,7
793,13
96,15
979,1
777,13
999,11
93,11
499,9
248,9
463,5
507,10
349,3
507,7
848,13
498,1
755,9
180,15
94,14
193,10
57,2
785,8
373,8
981,2
870,9
618,10
76,8
921,4
823,14
762,9
832,10
924,8
370,10
692,1
396,2
283,7
437,12
134,4
858,5
582,10
971,9
678,12
454,10
909,15
531,5
739,5
261,4
305,4
609,15
500,3
287,7
622,4
829,10
981,13
233,9
306,2
138,4
885,15
636,5
398,12
171,8
933,12
474,2
575,13
247,5
547,12
273,7
456,14
123,9
245,11
755,3
126,10
942,15
892,11
950,9
420,14
621,12
443,3
462,14
898,2
74,8
503,14
94,3
426,4
519,8
666,5
450,9
128,7
881,14
822,13
102,6
879,7
795,11
790,12
969,11
358,14
865,3
849,10
759,12
133,13
154,6
265,12
837,2
326,10
29,15
34,6
732,14
87,14
888,7
790,14
911,15
946,12
632,7
611,6
473,5
488,2
355,13
479,8
729,4
677,12
281,13
445,12
523,5
65,1
46,1
270,1
472,8
710,15
324,12
166,4
139,8
757,11
576,3
662,12
151,9
296,12
395,15
316,9
436,4
281,12
52,5
128,15
456,10
901,1
696,3
48,8
995,5
641,11
54,15
800,3
467,14
270,14
748,3
378,2
919,4
532,3
256,11
143,14
659,7
526,3
358,15
266,13
685,6
634,13
787,5
982,2
849,11
708,12
316,7
883,11
300,15
122,6
109,11
702,1
509,7
455,2
423,6
427,11
685,8
809,8
892,8
581,9
186,9
929,7
351,13
149,5
714,3
311,6
594,15
520,1
10,5
204,7
119,11
690,4
190,9
311,8
762,7
181,14
510,5
969,9
420,8
391,1
871,3
912,13
730,1
232,15
922,5
105,1
259,11
886,13
240,4
741,6
827,2
174,7
345,11
178,4
510,3
114,14
318,2
957,15
774,14
340,4
721,10
114,6
718,13
334,7
444,4
706,3
271,8
369,11
810,6
261,12
92,1
93,1
1000,5
487,7
358,15
918,14
521,13
604,1
842,13
200,4
987,5
664,12
666,7
647,12
390,12
593,13
779,13
656,10
789,14
638,3
717,11
738,15
970,2
642,15
376,5
392,10
618,5
595,15
995,12
674,4
436,10
369,3
975,3
145,7
463,15
647,10
906,6
4,14
868,6
176,6
946,12
554,3
557,6
444,8
922,4
302,10
420,11
439,8
193,8
328,15
395,15
164,8
892,15
745,15
279,10
360,6
235,8
140,5
400,6
976,10
100,11
220,13
940,7
487,11
521,8
406,13
527,2
937,7
212,5
594,12
491,4
300,9
212,1
190,10
519,3
330,13
976,12
896,12
828,11
413,6
15,2
890,13
614,8
482,11
645,14
717,3
359,4
683,3
574,13
